CLIENTNUM,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,gender_F,gender_M,marital_Divorced,marital_Married,marital_Single,marital_Unknown,Target
768805383,45,3,2,3,1,39,5,1,12691.0,777,1144,42,0,1,0,1,0,0,1
818770008,49,5,4,1,1,44,6,1,8256.0,864,1291,33,1,0,0,0,1,0,1
713982108,51,3,4,4,1,36,4,1,3418.0,0,1887,20,0,1,0,1,0,0,1
769911858,40,4,2,1,1,34,3,4,3313.0,2517,1171,20,1,0,0,0,0,1,1
709106358,40,3,1,3,1,21,5,1,4716.0,0,816,28,0,1,0,1,0,0,1
713061558,44,2,4,2,1,36,3,1,4010.0,1247,1088,24,0,1,0,1,0,0,1
810347208,51,4,0,5,3,46,6,1,34516.0,2264,1330,31,0,1,0,1,0,0,1
818906208,32,0,2,3,2,27,2,2,29081.0,1396,1538,36,0,1,0,0,0,1,1
710930508,37,3,1,3,1,36,5,2,22352.0,2517,1350,24,0,1,0,0,1,0,1
719661558,48,2,4,4,1,36,6,3,11656.0,1677,1441,32,0,1,0,0,1,0,1
708790833,42,5,1,5,1,31,5,3,6748.0,1467,1201,42,0,1,0,0,0,1,1
710821833,65,1,0,2,1,54,6,2,9095.0,1587,1314,26,0,1,0,1,0,0,1
816082233,35,3,4,3,1,30,5,1,8547.0,1666,1311,33,0,1,0,0,0,1,1
712396908,57,2,4,1,1,48,5,2,2436.0,680,1570,29,1,0,0,1,0,0,1
714885258,44,4,0,4,1,37,5,1,4234.0,972,1348,27,0,1,0,0,0,1,1
709967358,48,4,5,4,1,36,6,2,30367.0,2362,1671,27,0,1,0,0,1,0,1
753327333,41,3,0,4,1,34,4,4,13535.0,1291,1028,21,0,1,0,1,0,0,1
806160108,61,1,2,2,1,56,2,2,3193.0,2517,1336,30,0,1,0,1,0,0,1
709327383,45,2,4,0,1,37,6,1,14470.0,1157,1207,21,1,0,0,1,0,0,1
806165208,47,1,6,3,1,42,5,2,20979.0,1800,1178,27,0,1,1,0,0,0,1
708508758,62,0,4,1,1,49,2,3,1438.3,0,692,16,1,0,0,1,0,0,0
784725333,41,3,2,2,1,33,4,2,4470.0,680,931,18,0,1,0,1,0,0,1
811604133,47,4,0,1,1,36,3,3,2492.0,1560,1126,23,1,0,0,0,1,0,1
789124683,54,2,0,4,1,42,4,2,12217.0,0,1110,21,0,1,0,1,0,0,1
771071958,41,3,4,1,1,28,6,1,7768.0,1669,1051,22,1,0,0,0,1,0,1
720466383,59,1,2,2,1,46,4,1,14784.0,1374,1197,23,0,1,0,0,0,1,1
804424383,63,1,0,3,1,56,3,3,10215.0,1010,1904,40,0,1,0,1,0,0,1
718813833,44,3,1,0,1,34,5,2,10100.0,0,1052,18,1,0,0,0,1,0,1
778348233,53,3,0,4,1,33,3,2,2753.0,1811,1038,25,0,1,0,1,0,0,1
709029408,41,4,4,3,1,36,4,1,8923.0,2517,1589,24,0,1,0,1,0,0,1
788658483,53,2,3,1,1,38,5,2,2650.0,1490,1411,28,1,0,0,1,0,0,1
787937058,58,0,4,4,1,49,6,2,12555.0,1696,1291,24,0,1,0,1,0,0,1
715318008,55,1,3,1,1,36,4,2,3520.0,1914,1407,43,1,0,0,0,1,0,1
713962233,55,3,4,1,1,36,6,2,3035.0,2298,1877,37,1,0,0,1,0,0,1
785432733,42,4,2,1,3,36,2,3,15433.0,0,966,22,1,0,0,1,0,0,1
715190283,57,1,4,2,1,49,3,3,3672.0,886,1464,28,1,0,0,0,0,1,1
708300483,66,0,6,0,1,56,5,4,7882.0,605,704,16,1,0,0,1,0,0,0
827111283,45,3,4,4,1,41,2,2,32426.0,578,1109,28,0,1,0,0,1,0,1
758551608,51,2,0,2,1,44,4,1,6205.0,2204,1347,28,0,1,0,1,0,0,1
773146383,50,1,3,2,2,43,3,2,17304.0,2517,1756,33,1,0,0,0,1,0,1
778493808,49,3,2,3,1,37,5,2,3906.0,0,1756,32,0,1,0,1,0,0,1
720572508,38,4,4,0,1,28,2,3,9830.0,2055,1042,23,1,0,0,0,1,0,1
712661433,49,4,1,4,1,30,3,2,34516.0,0,1444,28,0,1,0,0,1,0,1
789172683,56,2,6,3,1,45,6,2,2283.0,1430,1741,27,0,1,0,1,0,0,1
738406533,59,1,6,2,1,52,3,2,2548.0,2020,1719,27,0,1,0,1,0,0,1
799723908,46,3,2,4,1,40,4,3,19458.0,1435,1217,27,0,1,0,1,0,0,1
771490833,52,1,3,4,1,40,5,1,4745.0,1227,1140,40,0,1,0,0,1,0,1
720756708,52,3,0,1,1,41,6,3,2622.0,1549,1878,30,1,0,0,1,0,0,1
779471883,54,1,4,1,1,40,2,3,1438.3,808,705,19,1,0,0,1,0,0,0
711525033,66,0,2,1,1,54,3,4,3171.0,2179,1946,38,1,0,0,1,0,0,1
712813458,49,2,0,5,1,36,4,2,19763.0,2517,1414,35,0,1,0,1,0,0,1
714374133,56,2,4,5,1,36,1,3,15769.0,0,602,15,0,1,0,1,0,0,0
717891558,49,4,4,1,1,36,6,4,3298.0,2200,1052,32,1,0,0,0,0,1,1
716632758,49,3,4,1,1,36,2,2,2802.0,2363,1295,40,1,0,0,0,1,0,1
768563658,56,2,1,2,1,50,4,2,4458.0,1880,1424,29,0,1,0,1,0,0,1
711427458,44,5,4,0,1,35,4,1,6273.0,978,1359,25,1,0,0,1,0,0,1
714091983,42,2,2,3,1,34,4,4,3336.0,1753,1168,27,0,1,0,0,1,0,1
787584108,55,3,0,4,1,47,4,2,3436.0,2016,1097,33,0,1,0,1,0,0,1
712030833,48,2,4,3,2,35,2,4,34516.0,0,691,15,0,1,0,1,0,0,0
711481533,39,1,2,3,1,33,5,3,5926.0,1251,1316,28,0,1,1,0,0,0,1
710082708,44,4,5,5,1,32,2,4,23957.0,2102,1276,26,0,1,0,0,1,0,1
708155733,53,2,2,5,1,44,4,2,14734.0,1634,1289,23,0,1,0,0,1,0,1
788979258,51,4,1,4,2,38,4,1,34516.0,1515,1293,32,0,1,0,0,1,0,1
807986133,57,2,3,3,1,52,5,3,6584.0,1817,1353,35,0,1,0,1,0,0,1
788730933,44,2,1,1,1,20,6,3,2084.0,1468,1132,28,1,0,0,0,1,0,1
711314058,49,2,4,3,1,32,2,2,1687.0,1107,1670,17,0,1,0,1,0,0,1
717975333,50,2,6,4,1,38,6,2,25300.0,1330,837,15,0,1,0,1,0,0,1
