Total_Trans_Ct,Total_Revolving_Bal,Total_Relationship_Count,Months_Inactive_12_mon,Target
42,777,5,1,1
33,864,6,1,1
20,0,4,1,1
20,2517,3,4,1
28,0,5,1,1
24,1247,3,1,1
31,2264,6,1,1
36,1396,2,2,1
24,2517,5,2,1
32,1677,6,3,1
42,1467,5,3,1
26,1587,6,2,1
17,0,3,6,1
33,1666,5,1,1
29,680,5,2,1
27,972,5,1,1
27,2362,6,2,1
21,1291,4,4,1
30,2517,2,2,1
21,1157,6,1,1
27,1800,5,2,1
16,0,2,3,0
18,680,4,2,1
23,1560,3,3,1
21,0,4,2,1
22,1669,6,1,1
23,1374,4,1,1
40,1010,3,3,1
18,0,5,2,1
38,1362,6,0,1
25,1811,3,2,1
26,1690,2,5,1
24,2517,4,1,1
28,1490,5,2,1
24,1696,6,2,1
43,1914,4,2,1
37,2298,6,2,1
22,0,2,3,1
28,886,3,3,1
16,605,5,4,0
28,578,2,2,1
28,2204,4,1,1
33,2517,3,2,1
32,0,5,2,1
23,2055,2,3,1
28,0,3,2,1
27,1430,6,2,1
27,2020,3,2,1
27,1435,4,3,1
40,1227,5,1,1
30,1549,6,3,1
19,808,2,3,0
38,2179,3,4,1
35,2517,4,2,1
15,0,1,3,0
32,2200,6,4,1
40,2363,2,2,1
29,1880,4,2,1
25,978,4,1,1
27,1753,4,4,1
33,2016,4,2,1
15,0,2,4,0
28,1251,5,3,1
26,2102,2,4,1
23,1634,4,2,1
32,1515,4,1,1
35,1817,5,3,1
28,1468,6,3,1
17,1107,2,2,1
15,1330,6,2,1
41,1763,3,2,1
36,1034,5,3,1
21,2030,4,2,1
35,1528,6,2,1
24,1932,3,3,1
33,1515,5,3,1
23,2517,6,4,1
57,1801,4,4,1
23,1823,6,1,1
35,1899,6,3,1
41,1695,4,4,1
29,1533,6,2,1
12,0,2,4,0
20,1417,2,3,1
27,1219,5,4,1
35,1910,5,3,1
31,2056,4,2,1
32,0,5,2,1
14,837,4,3,1
29,0,5,3,1
21,0,3,2,1
35,1953,4,3,1
34,0,4,4,1
29,2037,5,4,1
20,2440,5,1,1
32,895,6,4,1
30,1200,5,4,1
42,1706,5,3,1
19,2250,3,2,1
18,1628,2,3,0
22,1960,4,4,1
26,2053,5,3,1
33,1264,6,2,1
15,1879,3,3,1
34,0,3,3,1
37,926,2,3,1
21,931,6,1,1
30,2440,5,2,1
44,0,6,0,1
31,1960,6,3,1
32,1886,4,3,1
21,865,5,3,1
35,1674,5,1,1
24,706,2,2,1
37,1294,6,1,1
18,895,6,2,1
36,1273,3,2,1
25,1559,4,1,1
24,1196,4,6,1
38,1901,3,2,1
13,1023,3,2,1
29,1951,4,1,1
38,1836,3,2,1
47,1540,4,3,1
42,1527,2,3,1
24,0,4,2,1
30,0,6,1,1
23,2227,3,3,0
29,1300,3,1,1
30,2090,4,2,1
16,1985,5,1,1
16,2517,5,1,1
28,1662,3,2,1
34,2517,3,1,1
32,797,2,1,1
27,788,3,1,1
26,2100,5,3,1
42,1186,5,1,1
29,1568,6,2,1
19,2517,4,2,1
18,0,1,3,0
18,2327,6,2,1
25,2517,2,3,1
20,1128,3,2,1
10,0,2,3,0
16,0,3,2,0
31,2117,6,3,1
34,1536,3,2,1
30,1228,4,1,1
39,1104,4,1,1
22,0,5,1,1
32,1652,5,2,1
22,0,2,2,1
29,1540,6,2,1
26,930,4,2,1
28,0,3,3,1
29,0,6,1,1
27,618,6,1,1
24,0,4,3,1
29,1954,2,3,1
28,1024,5,2,1
31,1305,2,3,1
38,2071,3,2,1
24,2114,6,5,1
28,1570,5,2,1
30,1761,3,1,1
29,746,4,1,1
23,2173,3,3,1
17,2517,6,3,0
53,0,5,2,1
37,1719,4,3,1
28,893,6,3,1
20,0,2,2,0
34,1260,3,1,1
34,1434,4,1,1
28,1777,5,2,1
47,1836,2,1,1
32,2517,4,3,1
22,1072,6,3,1
28,985,4,2,1
18,2248,3,2,1
24,2107,6,2,1
36,2001,5,3,1
25,1701,6,2,1
50,1251,2,1,1
27,0,6,2,1
33,462,3,1,1
33,738,5,1,1
28,1626,5,1,1
32,0,6,1,1
24,1976,5,3,1
35,0,5,2,1
37,1594,4,2,1
52,1676,3,3,1
42,1598,5,1,1
22,799,2,1,1
21,1998,3,2,1
42,1423,3,3,1
21,900,1,3,0
22,1687,4,1,1
42,866,5,3,1
27,2006,4,5,1
41,1632,4,5,1
27,1679,3,2,1
32,1468,4,2,1
27,1580,3,2,1
27,0,2,4,0
24,0,3,3,0
37,1779,2,1,1
48,2395,2,3,1
26,1649,4,1,1
26,1359,3,2,1
40,2207,5,3,1
37,2517,4,2,1
21,1721,5,3,1
24,1955,3,2,1
32,1168,5,2,1
32,2509,5,1,1
33,1202,6,1,1
25,1835,4,1,1
43,1603,2,1,1
22,1272,5,1,1
24,2295,5,3,1
20,1141,6,2,1
29,679,5,2,1
24,1789,4,3,1
26,0,4,1,1
38,2222,6,4,1
38,1304,3,1,1
18,1666,4,3,1
12,1025,4,4,0
21,1740,2,3,1
26,1748,5,2,1
50,1644,6,2,1
25,1819,6,3,1
27,1301,4,3,1
17,1833,2,3,0
27,0,3,3,1
33,1222,5,3,1
36,1585,4,1,1
30,2517,2,3,0
25,1475,4,2,1
21,0,2,2,0
24,0,1,3,0
49,1289,6,2,1
33,1650,2,2,1
36,1666,6,3,1
19,0,3,3,0
25,1532,4,1,1
35,2480,5,1,1
28,1486,4,1,1
34,1125,5,3,1
27,709,6,3,1
17,1054,2,4,0
15,1495,3,2,1
26,1152,4,3,1
34,953,4,1,1
38,1510,4,2,1
28,849,2,3,1
29,1378,6,3,1
39,1652,2,2,1
23,0,1,4,0
17,1171,6,3,1
40,2143,2,3,1
23,795,5,1,1
20,1650,5,2,1
22,1082,2,2,1
33,2430,6,3,1
18,0,1,3,0
18,1434,3,3,1
41,1115,6,1,1
31,0,5,3,1
32,0,6,2,1
16,1029,4,3,1
32,1576,4,3,1
30,1769,2,2,1
18,0,1,1,0
33,1007,4,2,1
31,2481,5,2,1
22,1100,3,1,1
34,1440,4,3,1
24,2168,4,3,1
21,1711,5,2,1
14,0,3,3,0
33,1999,3,1,1
41,1274,2,1,1
25,0,3,3,0
30,2517,6,3,1
21,2221,6,2,0
45,1376,2,2,1
27,1703,2,3,1
33,1608,2,3,1
36,1682,3,4,1
28,1718,5,1,1
37,1814,6,3,1
29,837,5,1,1
41,2217,5,3,1
31,1250,5,2,1
24,583,2,3,1
26,1418,2,3,1
27,2303,5,2,1
30,1343,5,3,1
26,1577,6,3,1
32,2061,2,2,1
44,1130,5,2,1
40,1707,3,3,1
43,0,4,1,1
23,2030,6,3,1
37,0,2,3,1
31,2475,2,1,1
28,930,2,2,1
33,1047,3,2,1
29,0,5,2,1
42,2223,5,6,1
11,1381,2,3,0
29,2154,2,3,1
27,2169,5,3,1
36,1912,4,2,1
28,2070,4,2,1
33,1539,5,5,1
55,1297,4,2,1
13,0,3,2,1
22,1926,4,1,1
23,2177,3,3,1
23,2376,3,3,1
35,2517,4,3,1
49,1355,3,2,1
22,1823,3,3,1
31,2505,6,2,1
36,2517,4,3,1
16,1069,5,2,1
28,2242,4,1,1
46,1605,4,1,1
24,1785,3,1,1
38,1699,5,3,1
32,1844,6,3,1
29,2462,4,3,1
26,2517,4,3,0
32,2321,3,2,1
38,1571,5,3,1
43,1942,5,1,1
25,1560,6,3,1
22,1692,6,3,1
13,537,2,4,0
49,1710,3,1,1
31,0,3,2,1
34,2439,6,1,1
32,1173,5,3,1
38,2517,5,3,1
34,1648,5,1,1
32,2517,4,4,1
32,2117,3,1,1
29,1090,5,3,1
39,0,6,2,1
38,1375,6,3,1
22,755,6,2,1
39,1503,3,2,1
34,2517,3,2,1
31,1465,4,1,1
32,2165,6,3,1
41,0,6,3,1
31,2031,5,1,1
47,2274,6,3,1
22,1440,6,2,1
27,0,6,3,1
23,848,3,3,1
15,969,6,3,1
31,1644,5,2,1
31,1270,5,3,1
25,1785,5,3,1
27,793,3,3,1
33,1799,5,3,1
30,1521,6,2,1
35,1411,3,5,1
39,1403,4,2,1
48,1586,6,3,1
24,1766,6,3,1
32,1560,5,3,1
28,1955,5,2,1
28,726,3,2,1
29,2250,4,2,1
37,1818,6,2,1
37,1794,6,2,1
23,2381,4,3,1
37,1576,6,3,1
34,1980,3,2,1
15,1547,2,5,0
25,1617,3,3,1
27,1915,6,1,1
37,1480,3,2,1
26,1162,6,2,1
53,2008,6,1,1
29,1233,5,1,1
33,1288,6,1,1
57,1346,5,3,1
38,1554,3,1,1
38,843,5,1,1
25,1662,3,3,1
27,2233,5,3,1
39,1306,5,2,1
21,1253,6,3,1
17,1120,3,3,0
32,0,3,3,1
47,2086,6,1,1
28,2094,6,5,1
37,2033,5,3,1
18,0,3,3,0
39,0,6,2,1
25,1254,5,2,1
44,0,5,3,1
38,1675,4,3,1
35,913,4,1,1
24,1954,6,3,1
50,968,3,3,1
33,1249,3,2,1
26,1965,3,2,1
36,1673,3,3,0
30,2517,3,3,1
25,1454,3,3,1
22,0,3,1,1
20,0,6,3,0
42,2517,5,2,1
43,0,6,2,1
22,785,6,3,1
16,1930,3,2,1
11,1001,4,3,1
20,1299,5,3,0
21,1916,6,1,1
24,0,4,1,1
35,0,2,3,0
41,820,5,3,1
31,1851,6,1,1
34,2388,4,3,1
34,0,3,3,1
38,0,6,1,1
36,1627,6,1,1
44,2081,3,1,1
29,1257,3,1,1
39,1727,4,2,1
36,2280,6,1,1
40,2517,3,1,1
45,1794,5,3,1
35,1390,5,2,1
29,1531,3,2,1
49,1469,6,2,1
37,0,3,3,1
19,0,1,2,0
25,1518,1,1,0
30,0,3,2,1
26,877,5,3,1
21,1143,3,3,1
21,0,3,3,0
23,0,6,1,1
35,0,5,1,1
39,0,3,1,1
20,0,1,3,0
42,1565,6,2,1
25,1910,5,1,1
31,1074,6,1,1
50,1078,6,2,1
36,1611,4,1,1
25,2192,5,2,1
42,1654,3,2,1
25,1911,2,1,0
24,839,4,2,1
43,1208,4,2,1
30,2061,5,2,1
31,2517,2,3,0
54,1385,6,3,1
32,1138,5,3,1
60,1483,4,3,1
44,1660,4,2,1
33,896,3,2,1
14,0,2,2,0
54,1526,3,3,1
25,0,3,3,0
42,2235,5,3,1
26,2362,6,6,1
35,0,4,1,1
35,2149,5,1,1
51,1597,6,3,1
32,885,5,2,1
33,723,4,3,1
25,1972,5,3,1
24,1748,5,1,1
33,774,4,1,1
38,1713,5,3,1
